minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,h_event_log,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,a_event_log,code
7,Chelsea,0,0.19521429017186165,0.8414944567409669,0.14874074489584618,0.009504457041683134,0.0002578741585589656,2.4671629448524964e-06,7': Shot by Estêvão worth 0.07 xG,Brighton,0,0.012917870655655861,0.9870821293443441,0.012917870655655861,0.0,0.0,0.0,5': Shot by Carlos Baleba worth 0.01 xG,CHEBRI20250927
7,Chelsea,0,0.19521429017186165,0.8298004258964379,0.15885529084202016,0.011017710037973989,0.0003232836729749207,3.2895505930996547e-06,7': Shot by Estêvão worth 0.07 xG,Brighton,0,0.012917870655655861,0.9870821293443441,0.012917870655655861,0.0,0.0,0.0,5': Shot by Carlos Baleba worth 0.01 xG,CHEBRI20250927
7,Chelsea,0,0.19521429017186165,0.8181063950519089,0.16896983678819413,0.012530963034264844,0.0003886931873908758,4.111938241346813e-06,7': Shot by Estêvão worth 0.07 xG,Brighton,0,0.012917870655655861,0.9870821293443441,0.012917870655655861,0.0,0.0,0.0,5': Shot by Carlos Baleba worth 0.01 xG,CHEBRI20250927
8,Chelsea,0,0.19521429017186165,0.8181063950519089,0.16896983678819413,0.012530963034264844,0.0003886931873908758,4.111938241346813e-06,7': Shot by Estêvão worth 0.07 xG,Brighton,0,0.012917870655655861,0.9870821293443441,0.012917870655655861,0.0,0.0,0.0,5': Shot by Carlos Baleba worth 0.01 xG,CHEBRI20250927
8,Chelsea,0,0.19521429017186165,0.8181063950519089,0.16896983678819413,0.012530963034264844,0.0003886931873908758,4.111938241346813e-06,7': Shot by Estêvão worth 0.07 xG,Brighton,0,0.012917870655655861,0.9870821293443441,0.012917870655655861,0.0,0.0,0.0,5': Shot by Carlos Baleba worth 0.01 xG,CHEBRI20250927
8,Chelsea,0,0.19521429017186165,0.8181063950519089,0.16896983678819413,0.012530963034264844,0.0003886931873908758,4.111938241346813e-06,7': Shot by Estêvão worth 0.07 xG,Brighton,0,0.012917870655655861,0.9870821293443441,0.012917870655655861,0.0,0.0,0.0,5': Shot by Carlos Baleba worth 0.01 xG,CHEBRI20250927
8,Chelsea,0,0.19521429017186165,0.8181063950519089,0.16896983678819413,0.012530963034264844,0.0003886931873908758,4.111938241346813e-06,7': Shot by Estêvão worth 0.07 xG,Brighton,0,0.012917870655655861,0.9870821293443441,0.012917870655655861,0.0,0.0,0.0,5': Shot by Carlos Baleba worth 0.01 xG,CHEBRI20250927
8,Chelsea,0,0.19521429017186165,0.8181063950519089,0.16896983678819413,0.012530963034264844,0.0003886931873908758,4.111938241346813e-06,7': Shot by Estêvão worth 0.07 xG,Brighton,0,0.012917870655655861,0.9870821293443441,0.012917870655655861,0.0,0.0,0.0,5': Shot by Carlos Baleba worth 0.01 xG,CHEBRI20250927
9,Chelsea,0,0.21279204450547695,0.8152303004057124,0.17125190937821977,0.013080931852479648,0.00043137995467503886,5.478408913162092e-06,9': Shot by Reece James worth 0.02 xG,Brighton,0,0.012917870655655861,0.9870821293443441,0.012917870655655861,0.0,0.0,0.0,5': Shot by Carlos Baleba worth 0.01 xG,CHEBRI20250927
9,Chelsea,0,0.21279204450547695,0.812354205759516,0.17353398196824538,0.013630900670694454,0.0004740667219592019,6.84487958497737e-06,9': Shot by Reece James worth 0.02 xG,Brighton,0,0.012917870655655861,0.9870821293443441,0.012917870655655861,0.0,0.0,0.0,5': Shot by Carlos Baleba worth 0.01 xG,CHEBRI20250927
9,Chelsea,0,0.21279204450547695,0.8094781111133196,0.175816054558271,0.014180869488909259,0.000516753489243365,8.211350256792648e-06,9': Shot by Reece James worth 0.02 xG,Brighton,0,0.012917870655655861,0.9870821293443441,0.012917870655655861,0.0,0.0,0.0,5': Shot by Carlos Baleba worth 0.01 xG,CHEBRI20250927
9,Chelsea,0,0.21279204450547695,0.8066020164671232,0.17809812714829662,0.014730838307124065,0.000559440256527528,9.577820928607927e-06,9': Shot by Reece James worth 0.02 xG,Brighton,0,0.012917870655655861,0.9870821293443441,0.012917870655655861,0.0,0.0,0.0,5': Shot by Carlos Baleba worth 0.01 xG,CHEBRI20250927
