,match_id,minute,h_a,xG,result,x,y,player,shot_type,last_action
881,28816,71,a,0.23407764732837677,MissedShots,0.9,0.47200000762939454,Federico Chiesa,Head,Cross
882,28816,74,a,0.02073691412806511,MissedShots,0.7819999694824219,0.325,Dominik Szoboszlai,LeftFoot,Pass
883,28816,79,a,0.02150971256196499,BlockedShot,0.8030000305175782,0.3220000076293945,Ryan Gravenberch,RightFoot,TakeOn
884,28816,79,a,0.060515519231557846,MissedShots,0.925,0.4209999847412109,Cody Gakpo,Head,Cross
885,28816,86,a,0.06967753171920776,MissedShots,0.7730000305175782,0.375,Dominik Szoboszlai,RightFoot,Standard
886,28816,91,a,0.05777569115161896,MissedShots,0.905,0.4929999923706055,Cody Gakpo,Head,Chipped
887,28816,92,a,0.0795217901468277,SavedShot,0.9019999694824219,0.34,Jeremie Frimpong,RightFoot,Pass
888,28816,94,a,0.7611688375473022,Goal,0.885,0.5,Mohamed Salah,LeftFoot,Standard
889,28817,0,h,0.03976140543818474,MissedShots,0.9230000305175782,0.7280000305175781,Erling Haaland,LeftFoot,None
890,28817,17,h,0.057905472815036774,Goal,0.9169999694824219,0.47,Phil Foden,Head,Chipped
891,28817,23,h,0.1384190022945404,SavedShot,0.8959999847412109,0.5420000076293945,Tijjani Reijnders,RightFoot,Pass
892,28817,38,h,0.05417587235569954,MissedShots,0.8,0.5770000076293945,Nico O&#039;Reilly,RightFoot,Pass
893,28817,52,h,0.33433863520622253,Goal,0.93,0.64,Erling Haaland,LeftFoot,Throughball
894,28817,54,h,0.24343574047088623,ShotOnPost,0.950999984741211,0.575999984741211,Erling Haaland,LeftFoot,TakeOn
895,28817,54,h,0.06499067693948746,MissedShots,0.9490000152587891,0.35,Bernardo Silva,RightFoot,Rebound
896,28817,63,h,0.13467881083488464,SavedShot,0.8980000305175782,0.44799999237060545,Erling Haaland,LeftFoot,Cross
897,28817,67,h,0.4635861814022064,Goal,0.860999984741211,0.3890000152587891,Erling Haaland,LeftFoot,Throughball
898,28817,74,h,0.2935310900211334,MissedShots,0.8959999847412109,0.34799999237060547,Tijjani Reijnders,RightFoot,Pass
899,28817,90,h,0.06633555889129639,MissedShots,0.965,0.6790000152587891,Tijjani Reijnders,LeftFoot,None
900,28817,93,h,0.12191330641508102,MissedShots,0.87,0.40799999237060547,Phil Foden,RightFoot,Pass
901,28817,3,a,0.03495940566062927,SavedShot,0.7769999694824219,0.5129999923706055,Benjamin Sesko,LeftFoot,Dispossessed
902,28817,60,a,0.022772084921598434,SavedShot,0.8869999694824219,0.3160000038146973,Bryan Mbeumo,LeftFoot,Cross
