minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,h_event_log,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,a_event_log,code
8,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.0814206451177597,0.9185793548822403,0.0814206451177597,0.0,0.0,0.0,2': Goal scored by Raúl Jiménez from a shot worth 0.08 xG,AVLFLH20250928
8,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.0814206451177597,0.9185793548822403,0.0814206451177597,0.0,0.0,0.0,2': Goal scored by Raúl Jiménez from a shot worth 0.08 xG,AVLFLH20250928
9,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.0814206451177597,0.9185793548822403,0.0814206451177597,0.0,0.0,0.0,2': Goal scored by Raúl Jiménez from a shot worth 0.08 xG,AVLFLH20250928
9,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.0814206451177597,0.9185793548822403,0.0814206451177597,0.0,0.0,0.0,2': Goal scored by Raúl Jiménez from a shot worth 0.08 xG,AVLFLH20250928
9,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.0814206451177597,0.9185793548822403,0.0814206451177597,0.0,0.0,0.0,2': Goal scored by Raúl Jiménez from a shot worth 0.08 xG,AVLFLH20250928
9,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.0814206451177597,0.9185793548822403,0.0814206451177597,0.0,0.0,0.0,2': Goal scored by Raúl Jiménez from a shot worth 0.08 xG,AVLFLH20250928
9,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.0814206451177597,0.9185793548822403,0.0814206451177597,0.0,0.0,0.0,2': Goal scored by Raúl Jiménez from a shot worth 0.08 xG,AVLFLH20250928
10,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.0814206451177597,0.9185793548822403,0.0814206451177597,0.0,0.0,0.0,2': Goal scored by Raúl Jiménez from a shot worth 0.08 xG,AVLFLH20250928
10,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.0814206451177597,0.9185793548822403,0.0814206451177597,0.0,0.0,0.0,2': Goal scored by Raúl Jiménez from a shot worth 0.08 xG,AVLFLH20250928
10,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.0814206451177597,0.9185793548822403,0.0814206451177597,0.0,0.0,0.0,2': Goal scored by Raúl Jiménez from a shot worth 0.08 xG,AVLFLH20250928
10,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.0814206451177597,0.9185793548822403,0.0814206451177597,0.0,0.0,0.0,2': Goal scored by Raúl Jiménez from a shot worth 0.08 xG,AVLFLH20250928
10,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.0814206451177597,0.9185793548822403,0.0814206451177597,0.0,0.0,0.0,2': Goal scored by Raúl Jiménez from a shot worth 0.08 xG,AVLFLH20250928
11,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.1476755514740944,0.9064072770545233,0.09251381950192683,0.0010789034435499056,0.0,0.0,11': Shot by Joshua King worth 0.07 xG,AVLFLH20250928
11,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.1476755514740944,0.8942351992268063,0.10360699388609396,0.002157806887099811,0.0,0.0,11': Shot by Joshua King worth 0.07 xG,AVLFLH20250928
11,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.1476755514740944,0.8820631213990892,0.11470016827026108,0.0032367103306497167,0.0,0.0,11': Shot by Joshua King worth 0.07 xG,AVLFLH20250928
11,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.1476755514740944,0.8698910435713721,0.1257933426544282,0.004315613774199622,0.0,0.0,11': Shot by Joshua King worth 0.07 xG,AVLFLH20250928
11,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.1476755514740944,0.8577189657436551,0.13688651703859533,0.005394517217749528,0.0,0.0,11': Shot by Joshua King worth 0.07 xG,AVLFLH20250928
12,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.1476755514740944,0.8577189657436551,0.13688651703859533,0.005394517217749528,0.0,0.0,11': Shot by Joshua King worth 0.07 xG,AVLFLH20250928
12,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.1476755514740944,0.8577189657436551,0.13688651703859533,0.005394517217749528,0.0,0.0,11': Shot by Joshua King worth 0.07 xG,AVLFLH20250928
12,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.1476755514740944,0.8577189657436551,0.13688651703859533,0.005394517217749528,0.0,0.0,11': Shot by Joshua King worth 0.07 xG,AVLFLH20250928
12,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.1476755514740944,0.8577189657436551,0.13688651703859533,0.005394517217749528,0.0,0.0,11': Shot by Joshua King worth 0.07 xG,AVLFLH20250928
12,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.1476755514740944,0.8577189657436551,0.13688651703859533,0.005394517217749528,0.0,0.0,11': Shot by Joshua King worth 0.07 xG,AVLFLH20250928
13,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.1476755514740944,0.8577189657436551,0.13688651703859533,0.005394517217749528,0.0,0.0,11': Shot by Joshua King worth 0.07 xG,AVLFLH20250928
13,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.1476755514740944,0.8577189657436551,0.13688651703859533,0.005394517217749528,0.0,0.0,11': Shot by Joshua King worth 0.07 xG,AVLFLH20250928
13,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.1476755514740944,0.8577189657436551,0.13688651703859533,0.005394517217749528,0.0,0.0,11': Shot by Joshua King worth 0.07 xG,AVLFLH20250928
13,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.1476755514740944,0.8577189657436551,0.13688651703859533,0.005394517217749528,0.0,0.0,11': Shot by Joshua King worth 0.07 xG,AVLFLH20250928
13,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.1476755514740944,0.8577189657436551,0.13688651703859533,0.005394517217749528,0.0,0.0,11': Shot by Joshua King worth 0.07 xG,AVLFLH20250928
14,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.1476755514740944,0.8577189657436551,0.13688651703859533,0.005394517217749528,0.0,0.0,11': Shot by Joshua King worth 0.07 xG,AVLFLH20250928
14,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.1476755514740944,0.8577189657436551,0.13688651703859533,0.005394517217749528,0.0,0.0,11': Shot by Joshua King worth 0.07 xG,AVLFLH20250928
14,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.1476755514740944,0.8577189657436551,0.13688651703859533,0.005394517217749528,0.0,0.0,11': Shot by Joshua King worth 0.07 xG,AVLFLH20250928
14,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.1476755514740944,0.8577189657436551,0.13688651703859533,0.005394517217749528,0.0,0.0,11': Shot by Joshua King worth 0.07 xG,AVLFLH20250928
14,Aston Villa,0,0.0,1.0,0.0,0.0,0.0,0.0,,Fulham,1,0.1476755514740944,0.8577189657436551,0.13688651703859533,0.005394517217749528,0.0,0.0,11': Shot by Joshua King worth 0.07 xG,AVLFLH20250928
